"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC3A2",0.0131116082423176,-0.18281169983214,0.723,0.78,1
"NCKAP1L",0.220140016561996,0.182628452018164,0.335,0.313,1
"MLX",0.583850717585632,0.1826058258407,0.193,0.188,1
"RPS6KA5",0.272403093177631,-0.182540596212459,0.11,0.128,1
"RRM1",0.543072396885417,0.182484390203572,0.18,0.174,1
"FOXK2",0.310581890581409,-0.182355350503027,0.172,0.194,1
"TP53BP1",0.657424985458843,0.182349589863384,0.224,0.226,1
"SPPL2A",0.34761263174718,0.182277530039064,0.333,0.323,1
"DUSP5",0.381524907595392,0.182166530114501,0.196,0.182,1
"NELL2",0.0073147339298321,-0.182120087157367,0.188,0.251,1
"AREL1",0.0658328127366074,-0.18208448358532,0.12,0.156,1
"YBX3",0.00407428610068382,-0.181843565021908,0.618,0.693,1
"SURF2",0.363773390964365,-0.181818740286926,0.267,0.293,1
"DNM2",0.101466929150052,-0.181813004357329,0.364,0.409,1
"SRSF6",0.161461161227026,-0.181788442354945,0.215,0.248,1
"MCL1",0.00457453075345419,-0.181735980116977,0.861,0.894,1
"ANKRD37",0.392173897590517,-0.181710858072003,0.089,0.102,1
