"gene","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"TM4SF19","OK",0,76.0956503278079,0.144215519645141,"TM4SF19",0
"RPL35A","OK",0,105.962516285267,0.200851413650243,"RPL35A",0
"SPON2","OK",0,84.7747729470774,0.160728827179682,"SPON2",0
"MXD4","OK",0,63.4563609379933,0.120310402722704,"MXD4",0
"ZFYVE28","OK",0,52.8487104419766,0.100189160947647,"ZFYVE28",0
"LYAR","OK",0,55.4509320064841,0.105127021321476,"LYAR",0
"CD38","OK",0,46.1934246065655,0.0875429574032112,"CD38",0
"FGFBP2","OK",0,293.613044724398,0.556820201289126,"FGFBP2",0
"ARAP2","OK",0,83.5743528403065,0.158466472625983,"ARAP2",0
"DTHD1","OK",0,66.474958652494,0.126028643482853,"DTHD1",0
"RPL9","OK",0,104.162946326056,0.19746189823375,"RPL9",0
"RHOH","OK",0,67.1966035296019,0.127403614783577,"RHOH",0
"TXK","OK",0,61.1011200878199,0.115807779473899,"TXK",0
"HOPX","OK",0,53.6172382281102,0.101637402691598,"HOPX",0
"IGFBP7","OK",0,57.2254291884128,0.108099419075795,"IGFBP7",0
"PPBP","OK",0,139.352674217054,0.262844511056382,"PPBP",0
"AREG","OK",0,50.6719458227985,0.0960428361434517,"AREG",0
"G3BP2","OK",0,40.571397054028,0.0769067051840032,"G3BP2",0
"ANTXR2","OK",0,95.2462109772678,0.18059720155259,"ANTXR2",0
"AFF1","OK",0,56.4873897678538,0.107089342607411,"AFF1",0
"NFKB1","OK",0,39.868928712692,0.075573551532022,"NFKB1",0
"LEF1","OK",0,321.700672749928,0.610067494061126,"LEF1",0
"LEF1-AS1","OK",0,86.2105539601359,0.163403119858842,"LEF1-AS1",0
"RPL34","OK",0,159.16713109533,0.301750659304587,"RPL34",0
"SNHG8","OK",0,41.5233045814975,0.0787120133115499,"SNHG8",0
"ANXA5","OK",0,81.1442970639012,0.15385756963894,"ANXA5",0
"RPS3A","OK",0,150.56919719399,0.285406170409876,"RPS3A",0
"LPCAT1","OK",0,39.3080297507156,0.0745077275308193,"LPCAT1",0
"RETREG1","OK",0,59.2258924601426,0.112267605430944,"RETREG1",0
"IL7R","OK",0,264.907808582141,0.502385334470109,"IL7R",0
"RPL37","OK",0,134.470271913843,0.254928544905374,"RPL37",0
"ENSG00000288957","OK",0,73.5548078088891,0.139334747745058,"ENSG00000288957",0
