"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","direction"
7.70114369089105e-11,-0.48680366757075,0.084,0.076,1.44796903676133e-06,"Memory B","CENPP","down"
1.28032618972861e-33,-0.486635982184838,0.464,0.469,2.40726930192773e-29,"Memory B","DCXR","down"
1.07664911771247e-11,-0.486071782219776,0.109,0.102,2.02431567112298e-07,"Memory B","CCNG2","down"
2.58504968893942e-91,-0.485947424614764,0.998,0.997,4.8604104251439e-87,"Memory B","CD37","down"
2.5628707296622e-10,-0.485641379428333,0.087,0.088,4.81870954591087e-06,"Memory B","SWT1","down"
2.56768765285045e-09,-0.485563422924109,0.058,0.056,4.82776632488942e-05,"Memory B","LINC00863","down"
1.02124219946432e-38,-0.485056127124947,0.346,0.329,1.92013958343281e-34,"Memory B","PHF20L1","down"
1.43054345764719e-30,-0.484834205853628,0.517,0.495,2.68970780906824e-26,"Memory B","LINC00926","down"
2.24186673464043e-09,-0.484722442286135,0.044,0.039,4.21515783447094e-05,"Memory B","POFUT1","down"
2.05215035603597e-18,-0.48403383331727,0.131,0.127,3.85845309941884e-14,"Memory B","GABPB1-IT1","down"
1.08382035476385e-31,-0.483525097226795,0.228,0.218,2.03779903102698e-27,"Memory B","ICAM2","down"
2.60695237193786e-15,-0.483491742857471,0.084,0.073,4.90159184971757e-11,"Memory B","EHBP1","down"
8.84666072415299e-65,-0.482641930431741,0.748,0.715,1.66334914935525e-60,"Memory B","PAIP2","down"
2.35200328075496e-11,-0.481232328821686,0.07,0.066,4.42223656847547e-07,"Memory B","NSMF","down"
3.52091965906936e-37,-0.480400703126315,0.28,0.268,6.62003314298221e-33,"Memory B","VEZF1","down"
1.04800936871833e-57,-0.480323103396,0.776,0.755,1.9704672150642e-53,"Memory B","NDUFV2","down"
6.0055850549348e-32,-0.47929916332975,0.237,0.219,1.12917010202884e-27,"Memory B","GSAP","down"
6.89391454124046e-10,-0.479204764581119,0.043,0.036,1.29619381204403e-05,"Memory B","SLC45A4","down"
3.69389678962233e-22,-0.478238122321775,0.335,0.346,6.94526474384791e-18,"Memory B","TLE3","down"
2.68168290525877e-08,-0.477638660621522,0.053,0.05,0.000504210019846755,"Memory B","SHF","down"
3.0430901276222e-28,-0.477461403901717,0.292,0.301,5.72161805795525e-24,"Memory B","SMURF2","down"
1.77956531346254e-25,-0.47603139597714,0.536,0.549,3.34593870237227e-21,"Memory B","FCMR","down"
1.23504628778688e-34,-0.475841181968684,0.198,0.186,2.32213403029689e-30,"Memory B","INPP5K","down"
2.12301492158306e-13,-0.474365229516716,0.082,0.074,3.99169265556048e-09,"Memory B","ARL11","down"
2.94428932476252e-29,-0.474328280981298,0.233,0.214,5.53585278841849e-25,"Memory B","CCND3","down"
3.51261760409291e-54,-0.47389140435103,0.991,0.991,6.60442361921549e-50,"Memory B","BTG1","down"
1.71125953836585e-07,-0.473723595941269,0.039,0.037,0.00321751018403547,"Memory B","PLCG1","down"
1.68022875619882e-06,-0.473146298761892,0.038,0.038,0.0315916610740503,"Memory B","GALNS","down"
4.4518561524767e-15,-0.47297740341752,0.063,0.055,8.3703799378867e-11,"Memory B","CRAMP1","down"
8.98237772118744e-38,-0.472577436673102,0.643,0.645,1.68886665913766e-33,"Memory B","RALGAPA1","down"
8.55782440955213e-14,-0.471885931560662,0.061,0.057,1.60904214548399e-09,"Memory B","MTCP1","down"
2.86999807456744e-25,-0.471814699553596,0.334,0.333,5.3961703798017e-21,"Memory B","FER","down"
1.96322152413952e-32,-0.47125499078895,0.561,0.552,3.69124910968712e-28,"Memory B","PNP","down"
2.9784926039625e-21,-0.469736171112575,0.566,0.591,5.60016179397029e-17,"Memory B","EIF2AK3","down"
1.47958185781168e-13,-0.469562656976856,0.068,0.066,2.78190980905752e-09,"Memory B","SLC17A9","down"
1.93388897565152e-21,-0.469091520567646,0.168,0.159,3.63609805201999e-17,"Memory B","ABHD17B","down"
6.13846854116086e-31,-0.46895503777053,0.362,0.361,1.15415485510906e-26,"Memory B","PFKL","down"
3.09799875635938e-15,-0.468385308389287,0.112,0.11,5.82485726170691e-11,"Memory B","RRM1","down"
6.12341832956052e-41,-0.467889889667382,0.224,0.201,1.15132511432397e-36,"Memory B","GATD3","down"
7.59701998076453e-22,-0.46788885969716,0.102,0.091,1.42839169678335e-17,"Memory B","TMEM106A","down"
5.46374347766232e-09,-0.467352004080412,0.035,0.032,0.000102729304867007,"Memory B","ZNF213-AS1","down"
1.93312378206288e-31,-0.467163404685381,0.522,0.498,3.63465933503463e-27,"Memory B","ALG13","down"
6.56785503262322e-22,-0.466852353588954,0.089,0.077,1.23488810323382e-17,"Memory B","RAD18","down"
5.57132129962319e-07,-0.466715833597027,0.062,0.065,0.0104751983075515,"Memory B","ZNF441","down"
2.03113375720864e-16,-0.4657465699226,0.075,0.068,3.81893769030369e-12,"Memory B","RAB34","down"
4.00228067727839e-14,-0.465746192998842,0.117,0.116,7.52508812941883e-10,"Memory B","ZNF490","down"
1.68822630455079e-53,-0.465520584803985,0.978,0.969,3.1742030978164e-49,"Memory B","HMGB1","down"
3.1906209354325e-08,-0.464761380131279,0.036,0.032,0.000599900548280019,"Memory B","C4orf46","down"
1.33719776479379e-06,-0.46470319367413,0.07,0.076,0.0251419923736529,"Memory B","ENSG00000289474","down"
2.39480589662847e-10,-0.463685651222572,0.07,0.069,4.50271404684084e-06,"Memory B","HS6ST1","down"
2.13653143973306e-32,-0.463534339413559,0.603,0.615,4.01710641298609e-28,"Memory B","C12orf57","down"
5.32707117901251e-28,-0.463475810132062,0.26,0.246,1.00159592307793e-23,"Memory B","LPP","down"
3.37082357284601e-07,-0.462556162105983,0.056,0.054,0.00633782248166507,"Memory B","ZNF891","down"
7.04105639116276e-15,-0.462285853577705,0.113,0.113,1.32385942266642e-10,"Memory B","EXOC8","down"
1.76272434477734e-25,-0.4618330212986,0.204,0.187,3.31427431305036e-21,"Memory B","FAM117B","down"
5.96892424948467e-29,-0.461750998480006,0.177,0.166,1.12227713738811e-24,"Memory B","SREBF1","down"
3.74024434080165e-42,-0.46092589599974,0.589,0.577,7.03240740957526e-38,"Memory B","NASP","down"
2.05810885975519e-24,-0.460708731767659,0.586,0.604,3.86965627811171e-20,"Memory B","MTSS1","down"
2.93739720521406e-52,-0.460403479625945,0.839,0.814,5.52289422524348e-48,"Memory B","CHASERR","down"
6.54458883964643e-08,-0.46028107729106,0.041,0.039,0.00123051359363032,"Memory B","FOXJ2","down"
6.75229653673793e-15,-0.459978467373672,0.133,0.131,1.26956679483747e-10,"Memory B","ZBTB18","down"
6.72201211520445e-16,-0.459839473203494,0.116,0.109,1.26387271790074e-11,"Memory B","SLF1","down"
6.57210819033076e-07,-0.459298184118357,0.039,0.037,0.0123568778194599,"Memory B","H2AC8","down"
1.17214419883241e-09,-0.458865371989799,0.043,0.04,2.20386552264469e-05,"Memory B","ENSG00000275807","down"
6.31953869110042e-09,-0.458693594173193,0.067,0.066,0.00011881996647007,"Memory B","FCGRT","down"
1.01735461025504e-09,-0.458656871185809,0.044,0.041,1.91283013820154e-05,"Memory B","ENSG00000257277","down"
7.27778961119228e-25,-0.458387019285481,0.115,0.106,1.36837000269637e-20,"Memory B","NHEJ1","down"
3.75102137388069e-07,-0.457949131444829,0.07,0.066,0.00705267038717047,"Memory B","DNAJB4","down"
4.01918726173044e-23,-0.456706367970325,0.149,0.133,7.55687588950558e-19,"Memory B","MBNL3","down"
8.11091698324033e-24,-0.456296609258557,0.108,0.098,1.52501461118885e-19,"Memory B","ZNF444","down"
